,Title,Price,Unit Type,Size,Bedrooms,Bathrooms,Date,Location,States
18,"BANK LELONG No.D-3-02, Block Delima, Putri Laksamana, Batu Caves",RM 86 400,Apartment / Condominium,650 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 27, 11:29",Gombak,Selangor
19,"BANK LELONG No.C-16-03, Level 16, Block C, Cova Suites, Kota Damansara",RM 405 000,Apartment / Condominium,1254 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 27, 11:28",Petaling Jaya,Selangor
20,"BANK LELONG : No.1-22, Suria Mewah Residensi, Jalan Dusun, SEMENYIH",RM 224 000,Apartment / Condominium,1001 sq.ft.,4 Bedrooms,2 Bathrooms,"Jun 27, 11:28",Semenyih,Selangor
21,3 Room Condominium,RM 526 500,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:47",Shah Alam,Selangor
22,2 Room Service Apartment,RM 266 100,Apartment / Condominium,1023 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:45",Semenyih,Selangor
23,3 Room Service Apartment,RM 550 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:43",Puchong,Selangor
24,4 Room Service Apartment,RM 1 215 000,Apartment / Condominium,2034 sq.ft.,4 Bedrooms,1 Bathroom,"Jun 26, 17:41",Subang Jaya,Selangor
25,3 Room Apartment,RM 320 000,Apartment / Condominium,990 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:26",Kajang,Selangor
26,Town House,RM 440 000,Apartment / Condominium,1104 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 26, 17:21",Dengkil,Selangor
27,Gugusan Melur sebelah MRT Kota Damansara,RM 225 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 26, 15:30",Kota Damansara,Selangor
28,"BANK LELONG : No.O-11-23A, D'Aman Residences, Taman Mas, Puchong",RM 324 000,Apartment / Condominium,1076 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 25, 21:10",Puchong,Selangor
29,I-Sovo,RM 145 800,Apartment / Condominium,478 sq.ft.,1 Bedroom,1 Bathroom,"Jun 25, 16:45",I-City,Selangor
30,"BANK LELONG : No.B3-11-14, Apartment Desa Lembah Permai, AMPANG",RM 130 000,Apartment / Condominium,657 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 25, 13:08",Ampang,Selangor
31,"BANK LELONG No.37-2B, Block F, Batu Caves Centrepoint, Batu Caves",RM 126 000,Apartment / Condominium,624 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 24, 21:46",Batu Caves,Selangor
32,SELAYANG Residensi 280 (Res 280) [RizalProperties],RM 336 000,Apartment / Condominium,890 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 24, 12:05",Batu Caves,Selangor
33,Pandan Ville Condominium,RM 356 400,Apartment / Condominium,1572 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 23, 16:45",Ampang,Selangor
34,"Apartment in Taman Putra Perdana, Puchong",RM 120 000,Apartment / Condominium,708 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 23, 13:00",Puchong,Selangor
35,"Seri Tijanni Condominium, Kuang, Selangor",RM 675 000,Apartment / Condominium,2135 sq.ft.,4 Bedrooms,4 Bathrooms,"Jun 23, 12:45",Sungai Buloh,Selangor
36,Freehold Sri Cempaka Apartment - Bandar Puchong Jaya,RM 180 000,Apartment / Condominium,810 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 23, 12:09",Puchong,Selangor
37,Freehold Menara Shaftsbury Service Apartment,RM 405 000,Apartment / Condominium,686 sq.ft.,1 Bedroom,1 Bathroom,"Jun 23, 11:49",Cyberjaya,Selangor
38,"BANK LELONG No.28-30-9, The Wharf Residence, Tmn Tasik Prima, PUCHONG",RM 288 000,Apartment / Condominium,795 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 22, 21:05",Puchong,Selangor
39,"BANK LELONG No.105, Apartment Danau Pandan, Pandan Perdana, KL",RM 193 000,Apartment / Condominium,829 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 22, 14:05",Cheras,Selangor
40,"BANK LELONG No.2-13A04, Block 2, Pandan Ville Condo, Pandan Indah, KL",RM 320 000,Apartment / Condominium,1572 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 22, 10:10",Ampang,Selangor
41,Pangsapuri Angsana Taman Raintree Batu Cave [RizalProperties],RM 230 000,Apartment / Condominium,871 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 21, 13:05",Batu Caves,Selangor
42,"BANK LELONG Apartment Taman Desa Serdang, Serdang, Seri Kembangan",RM 108 000,Apartment / Condominium,826 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 21, 11:45",Seri Kembangan,Selangor
43,"BANK LELONG BE-B-14, Block BE (Inai Deluxe), BUNGA RAYA @ Pandan Indah",RM 202 000,Apartment / Condominium,883 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 20, 18:49",Ampang,Selangor
44,3 Bedroom Radius Apartment,RM 230 400,Apartment / Condominium,915 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 20, 17:10",Batu Caves,Selangor
45,"3 Bedroom Apartment in Taman Sentosa, Klang",RM 54 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 20, 15:42",Klang,Selangor
46,3 Bedroom Flora Damansara Apartment,RM 196 830,Apartment / Condominium,850 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 18:50",Damansara Perdana,Selangor
47,3 Bedroom Tropicana Gardens Serviced Apartment,RM 1 300 000,Apartment / Condominium,1273 sq.ft.,3 Bedrooms,3 Bathrooms,"Jun 19, 18:50",Kota Damansara,Selangor
48,3 Bedroom Putri Laksamana Apartment,RM 110 000,Apartment / Condominium,650 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 17:25",Gombak,Selangor
49,Desaminium Flora Apartment,RM 180 000,Apartment / Condominium,850 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 14:26",Seri Kembangan,Selangor
50,Sungai Buloh D’Sara Sentral Kondominium Near MRT [RizalProperties],RM 325 200,Apartment / Condominium,782 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 19, 13:30",Sungai Buloh,Selangor
51,Ampang Ukay Perdana Apartment Sri Hijauan [RizalProperties],RM 208 000,Apartment / Condominium,800 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 13:25",Ampang,Selangor
52,Ampang Ukay Perdana Apartment Sri Hijauan [RizalProperties],RM 200 000,Apartment / Condominium,856 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 19, 12:50",Kajang,Selangor
53,Residensi Hijauan Condominium (The Greens),RM 485 000,Apartment / Condominium,915 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 19, 12:45",Shah Alam,Selangor
54,"BANK LELONG No.B-3-2, Block B, Suria Apartment, Tmn Kinrara @ Puchong",RM 162 000,Apartment / Condominium,753 sq.ft.,3 Bedrooms,2 Bathrooms,"Jun 18, 12:02",Puchong,Selangor
55,Saville @ D'Lake,RM 258 300,Apartment / Condominium,1130 sq.ft.,4 Bedrooms,2 Bathrooms,"Jun 16, 23:24",Puchong,Selangor
56,DK Impian,RM 255 000,Apartment / Condominium,635 sq.ft.,2 Bedrooms,2 Bathrooms,"Jun 16, 16:35",Shah Alam,Selangor
57,Three Room Apartment,RM 123 930,Apartment / Condominium,738 sq.ft.,3 Bedrooms,1 Bathroom,"Jun 16, 11:09",Puchong,Selangor
58,"BANK LELONG No.A-11-11, Block A, Tiara Imperio, Jalan Ilmiah 1, BANGI",RM 160 000,Apartment / Condominium,452 sq.ft.,1 Bedroom,1 Bathroom,"Jun 15, 21:30",Kajang,Selangor
